time,x,y,z,vx,vy,vz
86500,-1.99597e+06,-8.30783e+06,0,5174.81,-4488.88,0
87000,910302,-9.22505e+06,0,5812.55,-1834.43,0
87500,3.7027e+06,-8.9882e+06,0,5584.79,473.69,0
88000,6.09343e+06,-7.77633e+06,0,4781.46,2423.75,0
88500,7.85442e+06,-5.7608e+06,0,3521.99,4031.06,0
89000,8.76851e+06,-3.1241e+06,0,1828.17,5273.39,0
89500,8.59923e+06,-101415,0,-338.564,6045.37,0
90000,7.08263e+06,2.93716e+06,0,-3033.19,6077.15,0
90500,4.00033e+06,5.32644e+06,0,-6164.61,4778.55,0
91000,-430589,5.92004e+06,0,-8861.83,1187.2,0
91500,-4.65633e+06,3.69271e+06,0,-8451.48,-4454.66,0
92000,-6.67133e+06,-287850,0,-4030,-7961.11,0
92500,-6.45357e+06,-4.17207e+06,0,435.511,-7768.44,0
93000,-4.81873e+06,-7.14018e+06,0,3269.68,-5936.22,0
93500,-2.43265e+06,-8.99512e+06,0,4772.18,-3709.89,0
94000,253050,-9.74222e+06,0,5371.39,-1494.19,0
94500,2.9115e+06,-9.44044e+06,0,5316.9,603.553,0
95000,5.26905e+06,-8.163e+06,0,4715.09,2554.89,0
95500,7.0541e+06,-5.99862e+06,0,3570.11,4328.75,0
96000,7.95381e+06,-3.08137e+06,0,1799.41,5834.5,0
96500,7.57639e+06,330650,0,-754.837,6824.04,0
97000,5.4679e+06,3.66712e+06,0,-4216.97,6672.94,0
97500,1.4501e+06,5.72308e+06,0,-8035.61,4111.92,0
98000,-3.26989e+06,5.00775e+06,0,-9439.98,-1430.67,0
98500,-6.46675e+06,1.95978e+06,0,-6393.72,-6095.94,0
99000,-7.57495e+06,-1.72116e+06,0,-2216.41,-7361.89,0
99500,-7.07279e+06,-5.0362e+06,0,1004.32,-6630.08,0
100000,-5.49387e+06,-7.58454e+06,0,3157.84,-5096.67,0
